TIME,DC0,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,LINK0,LINK1,LINK10,LINK11,LINK12,LINK13,LINK14,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,
56,0.000000,2397.599797,2504.859087,1241.847852,1508.338432,0.000000,0.000000,11201.504001,0.000000,3603.697104,2.120630,2.129680,2.113398,2.113398,2.217610,2.264469,2.561324,2.155827,2.202916,2.383188,2.160232,2.160232,2.118507,2.118507,2.284875,
57,0.000000,2387.422153,2538.914187,1251.179312,1500.253968,0.000000,0.000000,11243.609761,0.000000,3611.254414,2.117715,2.126640,2.112350,2.112350,2.222676,2.270179,2.560503,2.157631,2.204376,2.382154,2.162655,2.162655,2.115906,2.115906,2.284592,
58,0.000000,2326.335307,2456.998834,1254.112233,1499.087907,0.000000,0.000000,11277.683317,0.000000,3532.196586,2.118144,2.126793,2.110055,2.110055,2.216128,2.261770,2.563649,2.158761,2.204905,2.380359,2.162572,2.162572,2.119560,2.119560,2.288342,
59,0.000000,2412.719416,2501.949899,1225.027608,1488.804258,0.000000,0.000000,11289.042761,0.000000,3550.259754,2.122990,2.131729,2.109781,2.109781,2.223961,2.270478,2.565141,2.158966,2.204748,2.390092,2.158712,2.158712,2.114936,2.114936,2.279650,
60,0.000000,2292.628856,2479.233774,1224.506641,1466.385924,0.000000,0.000000,11407.723517,0.000000,3519.675374,2.119091,2.127688,2.109873,2.109873,2.219046,2.264948,2.564655,2.160295,2.205220,2.383062,2.159581,2.159581,2.119752,2.119752,2.285493,
61,0.000000,2353.238436,2506.656352,1236.668629,1469.833282,0.000000,0.000000,11256.608122,0.000000,3490.384766,2.119216,2.127853,2.106989,2.106989,2.220757,2.266131,2.562518,2.158654,2.204632,2.383755,2.158879,2.158879,2.118457,2.118457,2.283410,
62,0.000000,2294.288299,2455.457125,1224.679720,1470.286467,0.000000,0.000000,11506.804092,0.000000,3490.969428,2.119589,2.128059,2.112167,2.112167,2.221900,2.267513,2.564632,2.160204,2.206063,2.383783,2.162216,2.162216,2.115938,2.115938,2.284166,
63,0.000000,2323.086291,2483.673603,1237.768114,1467.849851,0.000000,0.000000,11143.534215,0.000000,3430.812713,2.120521,2.129045,2.108487,2.108487,2.221695,2.265883,2.550528,2.155750,2.201583,2.382005,2.155531,2.155531,2.111758,2.111758,2.272948,
64,0.000000,2223.189410,2520.231337,1205.609720,1467.637813,0.000000,0.000000,11244.220747,0.000000,3464.235796,2.120578,2.128868,2.104672,2.104672,2.218625,2.263837,2.557502,2.152439,2.197907,2.377018,2.159450,2.159450,2.117026,2.117026,2.282537,
65,0.000000,2256.445873,2498.271279,1209.426381,1471.741916,0.000000,0.000000,11035.335669,0.000000,3374.588039,2.114039,2.122332,2.103568,2.103568,2.219193,2.262163,2.546943,2.153712,2.198508,2.371704,2.155461,2.155461,2.115317,2.115317,2.276582,
66,0.000000,2249.415742,2503.975006,1213.031848,1478.508765,0.000000,0.000000,11383.892118,0.000000,3372.724412,2.118412,2.126663,2.105182,2.105182,2.224807,2.267925,2.555788,2.157675,2.203206,2.380093,2.160504,2.160504,2.112577,2.112577,2.278903,
67,0.000000,2226.754590,2455.074106,1232.284396,1462.299285,0.000000,0.000000,11103.548137,0.000000,3348.009765,2.115332,2.123318,2.102594,2.102594,2.216938,2.259424,2.551123,2.158582,2.204345,2.376449,2.152401,2.152401,2.117985,2.117985,2.276162,
68,0.000000,2249.041576,2498.719461,1211.500288,1466.811418,0.000000,0.000000,11260.501875,0.000000,3280.475655,2.119202,2.127323,2.106128,2.106128,2.225926,2.266813,2.546091,2.153850,2.199466,2.378374,2.154554,2.154554,2.110940,2.110940,2.271083,
69,0.000000,2250.359350,2466.078672,1210.702405,1466.506471,0.000000,0.000000,11278.427853,0.000000,3308.817048,2.118652,2.126673,2.101065,2.101065,2.224696,2.266422,2.557388,2.156788,2.201531,2.381685,2.159311,2.159311,2.111249,2.111249,2.276340,
70,0.000000,2179.380046,2438.302013,1189.516891,1461.304457,0.000000,0.000000,11222.496886,0.000000,3307.698697,2.117023,2.124930,2.101437,2.101437,2.220001,2.261731,2.550258,2.155365,2.198279,2.372577,2.156809,2.156809,2.113119,2.113119,2.275694,
71,0.000000,2227.196827,2482.840596,1214.602309,1463.403364,0.000000,0.000000,11308.296168,0.000000,3234.245316,2.111531,2.119262,2.102303,2.102303,2.226195,2.266105,2.553811,2.158432,2.204556,2.377205,2.157574,2.157574,2.113688,2.113688,2.277032,
72,0.000000,2226.783041,2481.662462,1203.116711,1483.749705,0.000000,0.000000,11086.710235,0.000000,3258.608765,2.112473,2.120284,2.102095,2.102095,2.227514,2.268159,2.540218,2.152755,2.197379,2.368974,2.155041,2.155041,2.108339,2.108339,2.268923,
73,0.000000,2234.036622,2435.277164,1206.517904,1476.035574,0.000000,0.000000,11080.187422,0.000000,3200.111150,2.111966,2.119770,2.096885,2.096885,2.226294,2.265423,2.545677,2.151457,2.196429,2.370323,2.159087,2.159087,2.111697,2.111697,2.276537,
74,0.000000,2159.226541,2403.923401,1184.361613,1491.626149,0.000000,0.000000,11168.539162,0.000000,3216.433634,2.114710,2.122456,2.097355,2.097355,2.222739,2.262322,2.544989,2.154208,2.197891,2.370393,2.158700,2.158700,2.108864,2.108864,2.273236,
